,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
1863,Tando Muhammad Khan-cum-Hyderabad-cum-Badin (Old H,NA-222,Sayed Miran Muhammad Shah,Independent,134,113490,2200,116451,318867,36.52 %
1864,Tando Muhammad Khan-cum-Hyderabad-cum-Badin (Old H,NA-222,Syed Naveed Qamar,Pakistan Peoples Party Parliamentarians,84041,113490,2200,116451,318867,36.52 %
1865,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Abdul Ghani Dars,Independent,62,130876,4694,135635,276836,48.99 %
1866,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Adeeba Gul Magsi,Pakistan Muslim League,44502,130876,4694,135635,276836,48.99 %
1867,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Aijaz Ahmed Halepoto,Pakistan Peoples Party (Shaheed Bhutto),195,130876,4694,135635,276836,48.99 %
1868,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Ali Murad Pitafi,Independent,51,130876,4694,135635,276836,48.99 %
1869,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Amanullah Khaskheli,Independent,108,130876,4694,135635,276836,48.99 %
1870,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Imdad Hussain Pitafi,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,143,130876,4694,135635,276836,48.99 %
1871,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Mehmood Qadir Khanzada,Muttahida Qaumi Movement Pakistan,178,130876,4694,135635,276836,48.99 %
1872,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Mian Manzoor Hussain,Pakistan Muslim League (N),171,130876,4694,135635,276836,48.99 %
1873,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Mir Muhammad Khokhar,Independent,106,130876,4694,135635,276836,48.99 %
1874,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Muhammad Saleh Kumbhar,Independent,585,130876,4694,135635,276836,48.99 %
1875,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Pir Fazal Ali Shah Jilani,Independent,20,130876,4694,135635,276836,48.99 %
1876,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Shamshad Sattar Bachani,Pakistan Peoples Party Parliamentarians,84669,130876,4694,135635,276836,48.99 %
1877,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Yar Muhammad Khaskheli,Independent,29,130876,4694,135635,276836,48.99 %
1878,Tando Allahyar-cum-Matiari (Old Hyderabad-VI,NA-223,Zulfiqar Bachani,Independent,57,130876,4694,135635,276836,48.99 %
1879,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Abdul Sattar Sirewal,Independent,154,130012,8728,138742,331871,41.80 %
1880,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Ali Akber Nizamani,Pakistan Muslim League (F),37369,130012,8728,138742,331871,41.80 %
1881,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Dr: Imtiaz Ahmed,Pakistan Muslim League (N),891,130012,8728,138742,331871,41.80 %
1882,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Dr: Mir Abdullah Khan,Independent,268,130012,8728,138742,331871,41.80 %
1883,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Ghulam Ali Nizamani,Pakistan Peoples Party Parliamentarians,87102,130012,8728,138742,331871,41.80 %
1884,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Mir Irfan Talpur,Independent,78,130012,8728,138742,331871,41.80 %
1885,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Muhammad Aleem,Muttahida Qaumi Movement Pakistan,105,130012,8728,138742,331871,41.80 %
1886,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Muhammad Hafeez Nizamani,Independent,24,130012,8728,138742,331871,41.80 %
1887,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Muhammad Saleem,Independent,1857,130012,8728,138742,331871,41.80 %
1888,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Noor Ahmed Nizamani,Independent,25,130012,8728,138742,331871,41.80 %
1889,Badin-cum-Tando Muhammad Khan-I (Old Badin-I,NA-224,Sardar Ghulam Mustafa Khaskheli,Independent,2141,130012,8728,138742,331871,41.80 %
1890,Badin-cum-Tando Muhammad Khan-II,NA-225,Abdullah Sheedi,Pakistan Muslim League (N),372,116844,2771,119615,285471,42 %
1891,Badin-cum-Tando Muhammad Khan-II,NA-225,Ali Saleem  Memon,Independent,45,116844,2771,119615,285471,42 %
1892,Badin-cum-Tando Muhammad Khan-II,NA-225,Asghar  Ali Parhiar Advocate,Muttahida Qaumi Movement Pakistan,79,116844,2771,119615,285471,42 %
1893,Badin-cum-Tando Muhammad Khan-II,NA-225,Bibi  Yasmeen  Shah,Pakistan Muslim League,24488,116844,2771,119615,285471,42 %
1894,Badin-cum-Tando Muhammad Khan-II,NA-225,Dr. Abdul Rehman Bhurgri,Independent,339,116844,2771,119615,285471,42 %
1895,Badin-cum-Tando Muhammad Khan-II,NA-225,Dr.Fahmida  Mirza,Pakistan Peoples Party Parliamentarians,88983,116844,2771,119615,285471,42 %
1896,Badin-cum-Tando Muhammad Khan-II,NA-225,Dr.Zulfiqar  Ali  Mirza,Independent,157,116844,2771,119615,285471,42 %
1897,Badin-cum-Tando Muhammad Khan-II,NA-225,Kamal  Khan Chang,Independent,156,116844,2771,119615,285471,42 %
1898,Badin-cum-Tando Muhammad Khan-II,NA-225,Mirza  Sohail Akbar Baig,Independent,47,116844,2771,119615,285471,42 %
1899,Badin-cum-Tando Muhammad Khan-II,NA-225,Molvi Fateh  Mohammad Maheri,Independent,2159,116844,2771,119615,285471,42 %
1900,Badin-cum-Tando Muhammad Khan-II,NA-225,Shujjat  Ali  Shah,Independent,19,116844,2771,119615,285471,42 %
1901,Mirpurkhas-cum-Umerkot(I,NA-226,Abdul Jabbar Mari Balouch,Independent,38,143934,4184,148116,354611,41.76 %
1902,Mirpurkhas-cum-Umerkot(I,NA-226,Fakir Ghulam Nabi Mangrio,Pakistan Muslim League (F),26385,143934,4184,148116,354611,41.76 %
1903,Mirpurkhas-cum-Umerkot(I,NA-226,Ghulam  Kibriya Rizwan (G.K. Rizwan Advocate),MUTTHIDA MAJLIS-E-AMAL PAKISTAN,124,143934,4184,148116,354611,41.76 %
1904,Mirpurkhas-cum-Umerkot(I,NA-226,Javed Ahmed Khan,Independent,31,143934,4184,148116,354611,41.76 %
1905,Mirpurkhas-cum-Umerkot(I,NA-226,Moulana Inayatullah Sajid,Independent,16,143934,4184,148116,354611,41.76 %
1906,Mirpurkhas-cum-Umerkot(I,NA-226,Muhammad Asim Afridi,Independent,195,143934,4184,148116,354611,41.76 %
1907,Mirpurkhas-cum-Umerkot(I,NA-226,Pir Aftab Hussain Shah Jillani,Pakistan Peoples Party Parliamentarians,78543,143934,4184,148116,354611,41.76 %
1908,Mirpurkhas-cum-Umerkot(I,NA-226,Pir Ghous Ali Shah Jillani,Independent,36,143934,4184,148116,354611,41.76 %
1909,Mirpurkhas-cum-Umerkot(I,NA-226,Pir Hassan Ali Shah Jillani,Independent,35,143934,4184,148116,354611,41.76 %
1910,Mirpurkhas-cum-Umerkot(I,NA-226,Pir Shafqat Hussain Shah Jillani,Independent,81,143934,4184,148116,354611,41.76 %
1911,Mirpurkhas-cum-Umerkot(I,NA-226,Professor Khursheed Ahmed Siddiqui,Muttahida Qaumi Movement Pakistan,38309,143934,4184,148116,354611,41.76 %
1912,Mirpurkhas-cum-Umerkot(I,NA-226,Syed Khadim Ali Shah,Independent,37,143934,4184,148116,354611,41.76 %
1913,Mirpurkhas-cum-Umerkot(I,NA-226,Syed Qurban Ali Shah,Independent,26,143934,4184,148116,354611,41.76 %
1914,Mirpurkhas-cum-Umerkot(I,NA-226,Zulfiqar Ali Junejo,Independent,78,143934,4184,148116,354611,41.76 %
1915,Mirpurkhas-cum-Umerkot(II,NA-227,Ali Nawaz Shah,Independent,30,124933,5054,129060,331905,38.8 %
1916,Mirpurkhas-cum-Umerkot(II,NA-227,Choudhry Muhammad Aslam Gill,Independent,2,124933,5054,129060,331905,38.8 %
1917,Mirpurkhas-cum-Umerkot(II,NA-227,Dr. Adnan Ahmed Bhurghari,Independent,356,124933,5054,129060,331905,38.8 %
1918,Mirpurkhas-cum-Umerkot(II,NA-227,Faqir Babar Khan Hur,Independent,16,124933,5054,129060,331905,38.8 %
1919,Mirpurkhas-cum-Umerkot(II,NA-227,Haji Ghulam Qadir Noohani,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,10,124933,5054,129060,331905,38.8 %
1920,Mirpurkhas-cum-Umerkot(II,NA-227,Jamil Ahmed Bhurghari,Independent,10,124933,5054,129060,331905,38.8 %
1921,Mirpurkhas-cum-Umerkot(II,NA-227,Jawaid Iqbal Qaimkhani,Independent,4,124933,5054,129060,331905,38.8 %
1922,Mirpurkhas-cum-Umerkot(II,NA-227,Mir Anwar Ali Talpur,Independent,4,124933,5054,129060,331905,38.8 %
1923,Mirpurkhas-cum-Umerkot(II,NA-227,Mir Haji Muhammad Hayat Khan Talpur,Independent,32,124933,5054,129060,331905,38.8 %
1924,Mirpurkhas-cum-Umerkot(II,NA-227,Mir Munawar Ali Talpur,Pakistan Peoples Party Parliamentarians,82697,124933,5054,129060,331905,38.8 %
1925,Mirpurkhas-cum-Umerkot(II,NA-227,Mir Tarique Ali Khan Talpur,Independent,10,124933,5054,129060,331905,38.8 %
1926,Mirpurkhas-cum-Umerkot(II,NA-227,Mir Zulfiqar Ali,Independent,5,124933,5054,129060,331905,38.8 %
1927,Mirpurkhas-cum-Umerkot(II,NA-227,Muhammad Yousif Qaimkhani,Independent,5,124933,5054,129060,331905,38.8 %
1928,Mirpurkhas-cum-Umerkot(II,NA-227,Sardar Ghulam Mustafa Khaskheli,Pakistan Muslim League (N),10359,124933,5054,129060,331905,38.8 %
1929,Mirpurkhas-cum-Umerkot(II,NA-227,Shabbir Ahmed Qaimkhani,Muttahida Qaumi Movement Pakistan,91,124933,5054,129060,331905,38.8 %
1930,Mirpurkhas-cum-Umerkot(II,NA-227,Shuja Muhammad Shah,Independent,143,124933,5054,129060,331905,38.8 %
1931,Mirpurkhas-cum-Umerkot(II,NA-227,Syed Qurban Ali Shah,Pakistan Muslim League,31159,124933,5054,129060,331905,38.8 %
1932,Umerkot (Old Mirpurkhas-III,NA-228,Abdul Qadir Soomro,Independent,14,130986,5958,134389,277564,48.40 %
1933,Umerkot (Old Mirpurkhas-III,NA-228,Azam Ali Soomro,Independent,24,130986,5958,134389,277564,48.40 %
1934,Umerkot (Old Mirpurkhas-III,NA-228,Dr. Dost Mohammad Memon,Independent,312,130986,5958,134389,277564,48.40 %
1935,Umerkot (Old Mirpurkhas-III,NA-228,Engineer Abdul Munim Khan,Pakistan Muslim League (N),825,130986,5958,134389,277564,48.40 %
1936,Umerkot (Old Mirpurkhas-III,NA-228,Jiando Khan Rahimoon,Independent,12,130986,5958,134389,277564,48.40 %
1937,Umerkot (Old Mirpurkhas-III,NA-228,Mir Amanullah Talpur,Independent,8,130986,5958,134389,277564,48.40 %
1938,Umerkot (Old Mirpurkhas-III,NA-228,Mir Nadir Ali Talpur,Independent,5,130986,5958,134389,277564,48.40 %
1939,Umerkot (Old Mirpurkhas-III,NA-228,Mohammad Qasim Soomro,Independent,30079,130986,5958,134389,277564,48.40 %
1940,Umerkot (Old Mirpurkhas-III,NA-228,Muzaffar Hussain Shah,Independent,270,130986,5958,134389,277564,48.40 %
1941,Umerkot (Old Mirpurkhas-III,NA-228,Nadir Khan,Independent,11,130986,5958,134389,277564,48.40 %
1942,Umerkot (Old Mirpurkhas-III,NA-228,Nawab Mehmood Tehmoor Talpur,Independent,12,130986,5958,134389,277564,48.40 %
1943,Umerkot (Old Mirpurkhas-III,NA-228,Nawab Mohammad Yousif Talpur,Pakistan Peoples Party Parliamentarians,75080,130986,5958,134389,277564,48.40 %
1944,Umerkot (Old Mirpurkhas-III,NA-228,Pir Aftab Ali Shah Jeelani,Independent,14,130986,5958,134389,277564,48.40 %
1945,Umerkot (Old Mirpurkhas-III,NA-228,Pir Noor Mohammad Shah Jeelani,Pakistan Muslim League (F),24210,130986,5958,134389,277564,48.40 %
1946,Umerkot (Old Mirpurkhas-III,NA-228,Poonjo Bheel Advocate,Muttahida Qaumi Movement Pakistan,22,130986,5958,134389,277564,48.40 %
1947,Umerkot (Old Mirpurkhas-III,NA-228,Shabbir Ahmed Khan,Independent,42,130986,5958,134389,277564,48.40 %
1948,Umerkot (Old Mirpurkhas-III,NA-228,Shaikh Khuda Bux,Independent,19,130986,5958,134389,277564,48.40 %
1949,Umerkot (Old Mirpurkhas-III,NA-228,Syed Ali Mardan Shah,Independent,27,130986,5958,134389,277564,48.40 %
1950,Tharparkar-I,NA-229,Arbab Ghulam Raheem,Independent,19,164597,3972,166922,256685,65.03 %
1951,Tharparkar-I,NA-229,Arbab Haji Abdullah,Punjab National Party,111,164597,3972,166922,256685,65.03 %
1952,Tharparkar-I,NA-229,Arbab Zakaullah,Pakistan Muslim League,135697,164597,3972,166922,256685,65.03 %
1953,Tharparkar-I,NA-229,Arbab Zulifqar Ali,Independent,306,164597,3972,166922,256685,65.03 %
1954,Tharparkar-I,NA-229,Dr. Khatoo Mal,Independent,25,164597,3972,166922,256685,65.03 %
1955,Tharparkar-I,NA-229,Dr. Manoj Kumar Malhani,Independent,11,164597,3972,166922,256685,65.03 %
1956,Tharparkar-I,NA-229,Faqir Sher Muhammad Bilalani,Independent,9,164597,3972,166922,256685,65.03 %
1957,Tharparkar-I,NA-229,Mahesh Kumar Malhani,Pakistan Peoples Party Parliamentarians,28411,164597,3972,166922,256685,65.03 %
1958,Tharparkar-I,NA-229,Mohammad Meean Bajeer Vakil,Independent,8,164597,3972,166922,256685,65.03 %
1959,Tharparkar-II.,NA-230,Aban Ali Rahimoon,Independent,1,153057,6085,152556,237555,64.21 %
1960,Tharparkar-II.,NA-230,Abdul Rehman Samejo,Independent,1,153057,6085,152556,237555,64.21 %
1961,Tharparkar-II.,NA-230,Arbab Ali Samejo,Independent,12,153057,6085,152556,237555,64.21 %
1962,Tharparkar-II.,NA-230,Arbab Haji Abdullah,Independent,12,153057,6085,152556,237555,64.21 %
1963,Tharparkar-II.,NA-230,Dr. Ghulam Hyder Samejo,Pakistan Muslim League,109580,153057,6085,152556,237555,64.21 %
1964,Tharparkar-II.,NA-230,Dr. Ghulam Rasool Samejo,Independent,0,153057,6085,152556,237555,64.21 %
1965,Tharparkar-II.,NA-230,Dr. Noor Muhammad Samejo,Independent,0,153057,6085,152556,237555,64.21 %
1966,Tharparkar-II.,NA-230,Imam Ali Samejo,Pakistan Peoples Party Parliamentarians,43436,153057,6085,152556,237555,64.21 %
1967,Tharparkar-II.,NA-230,Muhammad Ali Uner,Independent,1,153057,6085,152556,237555,64.21 %
1968,Tharparkar-II.,NA-230,Muhammad Siddique Halepoto,Independent,0,153057,6085,152556,237555,64.21 %
1969,Tharparkar-II.,NA-230,Muhammad Sohrab Samejo,Independent,0,153057,6085,152556,237555,64.21 %
1970,Tharparkar-II.,NA-230,Pir Imdad Ali Shah Jilani,Independent,5,153057,6085,152556,237555,64.21 %
1971,Tharparkar-II.,NA-230,Sharjeel Inam Memon,Independent,9,153057,6085,152556,237555,64.21 %
1972,Jamshoro (Old Dadu-I,NA-231,Abdul Hameed Rajput,Pakistan Muslim League (N),561,181157,5114,186259,492758,37.79 %
1973,Jamshoro (Old Dadu-I,NA-231,Ali Nawaz Shoro,Independent,822,181157,5114,186259,492758,37.79 %
1974,Jamshoro (Old Dadu-I,NA-231,Dr.Mohan Lal,Independent,48,181157,5114,186259,492758,37.79 %
1975,Jamshoro (Old Dadu-I,NA-231,Faqir Dad Khoso,Independent,86,181157,5114,186259,492758,37.79 %
1976,Jamshoro (Old Dadu-I,NA-231,Muhammad Javed,Muttahida Qaumi Movement Pakistan,6751,181157,5114,186259,492758,37.79 %
1977,Jamshoro (Old Dadu-I,NA-231,Nawab Abdul Ghani Talpur,Pakistan Peoples Party Parliamentarians,138320,181157,5114,186259,492758,37.79 %
1978,Jamshoro (Old Dadu-I,NA-231,Suhail Ahmed Shoro,Independent,70,181157,5114,186259,492758,37.79 %
1979,Jamshoro (Old Dadu-I,NA-231,Syed Aijaz Ali Shah,Independent,127,181157,5114,186259,492758,37.79 %
1980,Jamshoro (Old Dadu-I,NA-231,Syed Jalal Mehmood Shah,Sindh United Party,33361,181157,5114,186259,492758,37.79 %
1981,Jamshoro (Old Dadu-I,NA-231,Syed Muhammad Ali Shah,Independent,862,181157,5114,186259,492758,37.79 %
1982,Jamshoro (Old Dadu-I,NA-231,Syed Zain-ul-Abden,Independent,148,181157,5114,186259,492758,37.79 %
1983,Dadu-I (Old Dadu-II,NA-232,Ghulam Murtza Solangi,Muttahida Qaumi Movement Pakistan,57,122176,3234,125414,389936,32 %
1984,Dadu-I (Old Dadu-II,NA-232,Liquat Ali Khan Jatoi,Pakistan Muslim League,34019,122176,3234,125414,389936,32 %
1985,Dadu-I (Old Dadu-II,NA-232,Nisar Ahmed Panhwar,Independent,12,122176,3234,125414,389936,32 %
1986,Dadu-I (Old Dadu-II,NA-232,Rafique Ahmed Jamali,Pakistan Peoples Party Parliamentarians,87467,122176,3234,125414,389936,32 %
1987,Dadu-I (Old Dadu-II,NA-232,Rasheedan Akhtar Panhwar,Independent,272,122176,3234,125414,389936,32 %
1988,Dadu-I (Old Dadu-II,NA-232,Shafi Muhammad Channa,Independent,32,122176,3234,125414,389936,32 %
1989,Dadu-I (Old Dadu-II,NA-232,Shafi Muhammad Memon,Independent,97,122176,3234,125414,389936,32 %
1990,Dadu-I (Old Dadu-II,NA-232,Shamusddin Panhwar,Pakistan Peoples Party (Shaheed Bhutto),173,122176,3234,125414,389936,32 %
1991,Dadu-I (Old Dadu-II,NA-232,Sher Muhammad Soomro,Independent,27,122176,3234,125414,389936,32 %
1992,Dadu-I (Old Dadu-II,NA-232,Zubeer Ahmed Jamali,Independent,20,122176,3234,125414,389936,32 %
1993,Dadu-II (Old Dadu-III,NA-233,Ferozuddin Narejo,Independent,24,134071,2990,136667,438137,31.19 %
1994,Dadu-II (Old Dadu-III,NA-233,Ihsan Ali Jatoi,Pakistan Muslim League,50146,134071,2990,136667,438137,31.19 %
1995,Dadu-II (Old Dadu-III,NA-233,Moazam Shah,Independent,63,134071,2990,136667,438137,31.19 %
1996,Dadu-II (Old Dadu-III,NA-233,Muhammad Yaqoob,Pakistan Muslim League (N),60,134071,2990,136667,438137,31.19 %
1997,Dadu-II (Old Dadu-III,NA-233,Qazi Mushtaque Ahmed,Independent,30,134071,2990,136667,438137,31.19 %
1998,Dadu-II (Old Dadu-III,NA-233,Qazi Shafique Ahmed,Independent,27,134071,2990,136667,438137,31.19 %
1999,Dadu-II (Old Dadu-III,NA-233,Syed Zahid Ali Shah,Muttahida Qaumi Movement Pakistan,104,134071,2990,136667,438137,31.19 %
2000,Dadu-II (Old Dadu-III,NA-233,Talat Iqbal Mahessar,Pakistan Peoples Party Parliamentarians,83493,134071,2990,136667,438137,31.19 %
2001,Dadu-II (Old Dadu-III,NA-233,Tufail Ahmed Mahessar,Independent,73,134071,2990,136667,438137,31.19 %
2002,Dadu-II (Old Dadu-III,NA-233,Zafar Ali Leghari,Independent,51,134071,2990,136667,438137,31.19 %
2003,Sanghar-I,NA-234,Aneel Gul Junejo,Independent,220,116811,3330,120130,230943,52.01 %
2004,Sanghar-I,NA-234,Ghulam Muhammad Junejo Alias Gul Junejo,Pakistan Peoples Party Parliamentarians,44858,116811,3330,120130,230943,52.01 %
2005,Sanghar-I,NA-234,Khizar Hayat,Independent,43,116811,3330,120130,230943,52.01 %
2006,Sanghar-I,NA-234,Muhammad Jadam Mangrio,Pakistan Muslim League (F),71394,116811,3330,120130,230943,52.01 %
2007,Sanghar-I,NA-234,Muhammad Khan Junejo,Independent,21,116811,3330,120130,230943,52.01 %
2008,Sanghar-I,NA-234,Naseer Ahmed Qureshi,Independent,15,116811,3330,120130,230943,52.01 %
2009,Sanghar-I,NA-234,Pir Bux Junejo,Independent,15,116811,3330,120130,230943,52.01 %
2010,Sanghar-I,NA-234,Riaz Shar,Muttahida Qaumi Movement Pakistan,42,116811,3330,120130,230943,52.01 %
2011,Sanghar-I,NA-234,Zakir Hussain Mari,Pakistan Muslim League (N),203,116811,3330,120130,230943,52.01 %
2012,Sanghar-II (Old Sanghar-III,NA-236,Alamgeer Junejo,Independent,27,141232,3442,144371,286317,50 %
2013,Sanghar-II (Old Sanghar-III,NA-236,Habib Baig Majahid,Independent,303,141232,3442,144371,286317,50 %
2014,Sanghar-II (Old Sanghar-III,NA-236,Jam Mashooque Ali,Pakistan Muslim League (F),49483,141232,3442,144371,286317,50 %
2015,Sanghar-II (Old Sanghar-III,NA-236,Liaquat Ali Mari,Independent,16,141232,3442,144371,286317,50 %
2016,Sanghar-II (Old Sanghar-III,NA-236,Mufti Muhammad Hanif Khoso,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,68,141232,3442,144371,286317,50 %
2017,Sanghar-II (Old Sanghar-III,NA-236,Muhammad Hanif Ansari,Muttahida Qaumi Movement Pakistan,109,141232,3442,144371,286317,50 %
2018,Sanghar-II (Old Sanghar-III,NA-236,Muhammad Khan Junejo,Independent,9,141232,3442,144371,286317,50 %
2019,Sanghar-II (Old Sanghar-III,NA-236,Muhammad Umer Qureshi,Independent,20,141232,3442,144371,286317,50 %
2020,Sanghar-II (Old Sanghar-III,NA-236,Nisar Ahmed Nizamani,Independent,8,141232,3442,144371,286317,50 %
2021,Sanghar-II (Old Sanghar-III,NA-236,Pir Bux Junejo,Independent,5,141232,3442,144371,286317,50 %
2022,Sanghar-II (Old Sanghar-III,NA-236,Roshan Din junejo,Pakistan Peoples Party Parliamentarians,90311,141232,3442,144371,286317,50 %
2023,Sanghar-II (Old Sanghar-III,NA-236,Salahuddin Junejo,Independent,2,141232,3442,144371,286317,50 %
2024,Sanghar-II (Old Sanghar-III,NA-236,Zahid Hussain Shah,Independent,871,141232,3442,144371,286317,50 %
2025,Thatta-I,NA-237,Dr. Abdul Wahid Soomro,Pakistan Peoples Party Parliamentarians,85138,141633,5916,148754,431030,34.51 %
2026,Thatta-I,NA-237,Imtiaz Ahmed Qureshi,Independent,178,141633,5916,148754,431030,34.51 %
2027,Thatta-I,NA-237,Irfan Ali Bikak,Muttahida Qaumi Movement Pakistan,265,141633,5916,148754,431030,34.51 %
2028,Thatta-I,NA-237,Syed Riaz Hussain Shah Sheerazi,Pakistan Muslim League,56052,141633,5916,148754,431030,34.51 %
2029,Thatta-II,NA-238,Arbab Wazir Ahmed Memon,Pakistan Peoples Party Parliamentarians,62175,140464,4385,144487,363663,39.73 %
2030,Thatta-II,NA-238,Heer Soho,Muttahida Qaumi Movement Pakistan,495,140464,4385,144487,363663,39.73 %
2031,Thatta-II,NA-238,Molana Abdul Ghafoor Qasimi,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,982,140464,4385,144487,363663,39.73 %
2032,Thatta-II,NA-238,Syed Ayaz Ali Shah Sheerazi,Pakistan Muslim League,76812,140464,4385,144487,363663,39.73 %
2033,Karachi-I,NA-239,Abdul Ghani Balouch,Independent,146,110675,2377,113052,312401,36.19 %
2034,Karachi-I,NA-239,Abdul Qadir Patel,Pakistan Peoples Party Parliamentarians,56840,110675,2377,113052,312401,36.19 %
2035,Karachi-I,NA-239,Ali Akber,Independent,144,110675,2377,113052,312401,36.19 %
2036,Karachi-I,NA-239,Amanullah Paracha,Pakistan Muslim League,2132,110675,2377,113052,312401,36.19 %
2037,Karachi-I,NA-239,Capt. Haleem Ahmed Siddiqui,Independent,3568,110675,2377,113052,312401,36.19 %
2038,Karachi-I,NA-239,Dr. K.S. Mujahid Khan Baloch,Muttahida Qaumi Movement Pakistan,24013,110675,2377,113052,312401,36.19 %
2039,Karachi-I,NA-239,Haji Zahoor Ahmed,Independent,123,110675,2377,113052,312401,36.19 %
2040,Karachi-I,NA-239,Iftikhar Hussain,Independent,3980,110675,2377,113052,312401,36.19 %
2041,Karachi-I,NA-239,Kanwar Qutubuddin Khan,Independent,909,110675,2377,113052,312401,36.19 %
2042,Karachi-I,NA-239,Professor Umer Farooq Khan Advocate,Independent,97,110675,2377,113052,312401,36.19 %
2043,Karachi-I,NA-239,Qari Muhammad Usman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,5869,110675,2377,113052,312401,36.19 %
2044,Karachi-I,NA-239,Sardar Ghulam Mustafa Khaskhali,Independent,403,110675,2377,113052,312401,36.19 %
2045,Karachi-I,NA-239,Syed Hafeezuddin,Pakistan Muslim League (N),12329,110675,2377,113052,312401,36.19 %
2046,Karachi-I,NA-239,Zar Bali Syed,Independent,122,110675,2377,113052,312401,36.19 %
2047,Karachi-II,NA-240,Abdullah Bloch,Pakistan Peoples Party Parliamentarians,61017,130737,142,130896,279723,46.79 %
2048,Karachi-II,NA-240,Asghar Khan,Independent,65,130737,142,130896,279723,46.79 %
2049,Karachi-II,NA-240,Khawaja Sohail Mansoor,Muttahida Qaumi Movement Pakistan,67799,130737,142,130896,279723,46.79 %
2050,Karachi-II,NA-240,Malik Jhanzaib Khan Advocate,Independent,44,130737,142,130896,279723,46.79 %
2051,Karachi-II,NA-240,Qari Muhammad Usman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1600,130737,142,130896,279723,46.79 %
2052,Karachi-II,NA-240,Shafiq But Advocate,Independent,121,130737,142,130896,279723,46.79 %
2053,Karachi-III,NA-241,Ameer Zada Khan Yousaf Zai,Independent,165,145735,1609,147344,268582,54.85 %
2054,Karachi-III,NA-241,Dr.  Ismail,Independent,88,145735,1609,147344,268582,54.85 %
2055,Karachi-III,NA-241,Dr. Muhammad Shakir Alam,Pakistan Peoples Party Parliamentarians,11544,145735,1609,147344,268582,54.85 %
2056,Karachi-III,NA-241,Jameel ur Rehman,Independent,39,145735,1609,147344,268582,54.85 %
2057,Karachi-III,NA-241,Muhammad Gulzar Ahmed Khaliqi,Independent,79,145735,1609,147344,268582,54.85 %
2058,Karachi-III,NA-241,Muhammad Yaqoob,Independent,139,145735,1609,147344,268582,54.85 %
2059,Karachi-III,NA-241,Rujhanullah Afridi,Independent,246,145735,1609,147344,268582,54.85 %
2060,Karachi-III,NA-241,S.A.Iqbal Qadiri,Muttahida Qaumi Movement Pakistan,93617,145735,1609,147344,268582,54.85 %
2061,Karachi-III,NA-241,Shakeel Ahmed,Independent,72,145735,1609,147344,268582,54.85 %
2062,Karachi-III,NA-241,Wazeer Ahmed Afridi,Pakistan Muslim League (N),3510,145735,1609,147344,268582,54.85 %
2063,Karachi-III,NA-241,Zarbali Syed,Awami National Party,36236,145735,1609,147344,268582,54.85 %
2064,Karachi-IV,NA-242,DR. ABDUL QADIR KHANZADA,Muttahida Qaumi Movement Pakistan,147892,177030,1812,178842,296822,60.25 %
2065,Karachi-IV,NA-242,MOULVI IQBAL HAIDER,Awami Himayat Tehreek Pakistan,243,177030,1812,178842,296822,60.25 %
2066,Karachi-IV,NA-242,MUHAMMAD AFAQUE KHAN alias SHAHID,Pakistan Peoples Party Parliamentarians,27294,177030,1812,178842,296822,60.25 %
2067,Karachi-IV,NA-242,SAIFUDDIN KHALID,Independent,204,177030,1812,178842,296822,60.25 %
2068,Karachi-IV,NA-242,SHAFI AHMED,Independent,1067,177030,1812,178842,296822,60.25 %
